"Site","Month","Year","Region","season","out","hours","total","Prop"
"butler","August",2018,"butler","summer",662,165.5,2973,0.222670702993609
"butler","December",2018,"butler","winter",459,114.75,2975,0.154285714285714
"butler","February",2019,"butler","winter",46,11.5,346,0.132947976878613
"butler","January",2019,"butler","winter",544,136,2942,0.184908225696805
"butler","July",2018,"butler","summer",216,54,2750,0.0785454545454545
"butler","November",2018,"butler","fall",247,61.75,2874,0.0859429366736256
"butler","October",2018,"butler","fall",306,76.5,2973,0.1029263370333
"butler","September",2018,"butler","fall",319,79.75,2880,0.110763888888889
"butler3","August",2019,"butler","summer",728,182,2976,0.244623655913978
"butler3","December",2019,"butler","winter",667,166.75,2972,0.22442799461642
"butler3","February",2020,"butler","winter",793,198.25,2784,0.284841954022989
"butler3","January",2020,"butler","winter",808,202,2976,0.271505376344086
"butler3","July",2019,"butler","summer",780,195,2976,0.262096774193548
"butler3","June",2019,"butler","summer",748,187,2515,0.29741550695825
"butler3","March",2020,"butler","spring",903,225.75,2976,0.303427419354839
"butler3","May",2019,"butler","spring",426,106.5,1388,0.306916426512968
"butler3","November",2019,"butler","fall",299,74.75,2880,0.103819444444444
"butler3","October",2019,"butler","fall",384,96,2976,0.129032258064516
"butler3","September",2019,"butler","fall",307,76.75,2797,0.109760457633178
"guana1","August",2018,"guana","summer",919,229.75,2976,0.30880376344086
"guana1","December",2018,"guana","winter",759,189.75,2976,0.255040322580645
"guana1","February",2019,"guana","winter",655,163.75,2688,0.243675595238095
"guana1","January",2019,"guana","winter",888,222,2976,0.298387096774194
"guana1","July",2018,"guana","summer",745,186.25,2551,0.292042336338691
"guana1","March",2019,"guana","spring",8,2,48,0.166666666666667
"guana1","November",2018,"guana","fall",520,130,2877,0.180743830378867
"guana1","October",2018,"guana","fall",626,156.5,2976,0.210349462365591
"guana1","September",2018,"guana","fall",624,156,2880,0.216666666666667
"guana2","August",2018,"guana","summer",815,203.75,2976,0.27385752688172
"guana2","December",2018,"guana","winter",630,157.5,2975,0.211764705882353
"guana2","January",2019,"guana","winter",746,186.5,2932,0.254433833560709
"guana2","July",2018,"guana","summer",375,93.75,1313,0.285605483625286
"guana2","November",2018,"guana","fall",412,103,2880,0.143055555555556
"guana2","October",2018,"guana","fall",590,147.5,2976,0.198252688172043
"guana2","September",2018,"guana","fall",508,127,2880,0.176388888888889
"guana3","April",2020,"guana","spring",34,8.5,250,0.136
"guana3","August",2019,"guana","summer",776,194,2976,0.260752688172043
"guana3","December",2019,"guana","winter",875,218.75,2976,0.294018817204301
"guana3","February",2020,"guana","winter",899,224.75,2784,0.322916666666667
"guana3","January",2020,"guana","winter",978,244.5,2976,0.328629032258065
"guana3","July",2019,"guana","summer",909,227.25,2976,0.305443548387097
